title,authors,orgs,source,year,volume,issue,pages,keywords,abstract,doi,cited_count,download_count,fund,classification,clc_code,url,uid
基于CiteSpace的国内外多学科诊疗模式可视化研究,"胡婷婷1 ; 张雨桐1 ; 吕松青1 ; 李乐乐2 ; 1.首都医科大学附属北京安定医院,国家精神疾病医学中心,国家精神心理疾病临床医学研究中心,北京市精神卫生与心理健康质控中心 ; 2.中国人民大学劳动人事学院",,中国医刊,2025,,,,多学科诊疗 ; 文献计量学 ; CiteSpace,"目的 分析国内外多学科诊疗（MDT）模式研究领域的主要热点和趋势。方法 采用文献计量学方法，对比分析中国知网（检索时间为2007年1月1日至2024年12月31日）和Web of Science（检索时间为1980年1月1日至2024年12月31日）核心数据库中“多学科诊疗模式”的相关文献，应用CiteSpace软件对国内外MDT模式的发文趋势、研究热点及研究内容的演变进行分析。结果 共纳入4573篇中文文献和8192篇英文文献。CiteSpace的可视化分析发现，中文文献关键词共现网络密度为0.006，结构较分散，高频词包括“多学科协作”“护理质量”等，其中“多学科协作”与“结直肠肿瘤”为中心关键点；英文文献网络密度为0.007，略高于中文。聚类分析显示，中文文献聚焦结直肠癌、慢性病管理等（Q=0.57,S=0.83），英文文献侧重全生命周期服务与信息化（Q=0.34,S=0.72）。突现词表明，国内近年来主要关注营养、疼痛及新型冠状病毒感染的MDT应用，国外则转向健康政策与技术应用。结论 相关政策显著影响MDT研究的发展，国内外发文量随政策推进而增长。我国MDT研究历经探索、发展、...",,,,北京市医院管理中心培育计划（PG2025027）；,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4aXLF_HbEFBbZY2DOJ1Kzn3FWcigLZUARz0ODlau8kMtkVyqUSqCGTYbZ-9IVQbYHrsIWlnpSEvhxRQlzscTCyrYsa1vZPN27nzispbD03uf8V6R_-0Y1czTX9oYFaovQFnp0cP6GjJdcs3IzAW7q89nrxCJ_de1uEhHNz0FJlMQ==&uniplatform=NZKPT&language=CHS,3e46879a7c72
"Formation,Application and Development of Tongzhen Therapy","ZHOU Jian-Bin1 ; Chun-Gui YANG2 ; LI Yi-Kai3 ; 1.Department of Pain,Nanjing Inteated Traditional Chinese and Western dicine Hospital Affiliated to Nanjing University of Chinese Medicine ; 3.Department of Orthopedics and Traumatology,the Third Affiliated Hospital of Southern Medical University",,世界针灸学会联合会2025年国际针灸学术研讨会暨瑞典针灸学术研究学会十周年庆典(ASAS)论文集（英文版）,2025,,,,Soft tissue release ; Sharp separation ; Blunt separation ; Tongzhen ; Needle knife ; Blunt-tip needle ; Acupuncture,"To harness the therapeutic benefits of both sharp and blunt soft tissue release techniques while addressing their respective drawbacks,the first author developed an innovative approach known as Tongzhen therapy.This novel method seeks to combine the effectiveness of sharp soft tissue release,which excels in precise tissue dissection,with the safety profile of blunt release,which minimizes damage to surrounding structures.At the same time,it aims to mitigate the invasiveness associated with sharp ...",10.26914/c.cnkihy.2025.074730,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4aXLF_HbEFBbZY2DOJ1Kzngf_OmhOMpyUb68vK9Y8QBH1LL0jTNgaTQt7UsRLvufT2vbW9qZFm7OlSogyvpQCk873qdM8sVsJujbrNXpUH4drnxvOn0FrV3Wven4qKRpaWxukN_o5y4ylup51FXu8xO81mJ8F6324pe0OejGoyaha08FixnHl7&uniplatform=NZKPT&language=CHS,0e8d85420b8f
脉冲电场消融：精准安全的“电手术刀”,宗诗涵,,科技日报,2025,,,,,,10.28502/n.cnki.nkjrb.2025.006565,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6Y6HP2Iv2DCWHIo7XWhb1bal9nOut41eoGS_Getz6F8Sh2fGdT_3Mg512WK4RXsgmTLUFcrV6MfA1-LJSLvsqKkbNx8ppoHjFslo8-Jj4pmP35uNe2F5Y_2XPGyCyyAV99k2kOzp5UxISWZ38cFuEAbOOn_y6CJvMTy7NW5Tx7q5_j4h4wzpKK&uniplatform=NZKPT&language=CHS,8b6fe36f6d6a
基于香豆素衍生物的AIE光敏剂合成及其光动力治疗应用,Edward Kamya ; 中国科学技术大学,,中国科学技术大学,2025,,,,聚集诱导发光 ; 光敏剂 ; 光动力治疗 ; 抗菌治疗 ; 抗肿瘤治疗,"光动力疗法（PDT）作为一种新兴的治疗手段,因其高时空精准性、无创性及精确可控性等显著优势,在细菌感染、癌症等疾病的治疗中得到了积极探索。光敏剂（PSs）是PDT的核心组成部分,其性能直接决定了治疗效果。然而,传统有机PSs在生理环境中易发生聚集导致荧光猝灭,严重削弱其疗效。具备聚集诱导发光（AIE）特性的PSs从根本上克服了这一局限。尽管如此,针对特定生物应用、具备定制化性质的高性能AIE PSs的理性设计仍面临巨大挑战。针对此,本论文提出了一种基于“给体-π桥-受体”（D-π-A）分子骨架的系统性工程策略,用于开发新型香豆素基AIE PSs,并系统验证了其在抗菌和抗肿瘤应用中的治疗潜力。 本论文的基础性工作涵盖了两类共五种AIE PSs（TPC、TPQ、TPA-T-RS、TPA-Ts-RS和TPA-Ts-RCN）的设计与合成。研究以二对甲苯胺基取代的香豆素作为固定的富电子给体,并对该核心进行官能团化以实现后续的偶联反应,从而系统性地引入噻吩π桥以及一系列强度递增的电子受体。通过对分子结构的策略性调控,实现了对单线态-三重态能隙(ΔEST)的精确调节。理论计算与实...",10.27517/d.cnki.gzkju.2025.002355,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6Y6HP2Iv2DCWHIo7XWhb1bu0Zj4RB5V1KVa5iNfP0LrXQEIgYOdfLYtf4h4isgyN-S5MLx6cRD03RDdQqJzuzwfw71PKAs3wCj73QXlJb8zWQ6Nnap876SYeeoNMHYnhJbo8VuPdhxDS5XEIIAyUYh5BhyhDqMls_3PgnszWlEF2M3z4Z6bMST&uniplatform=NZKPT&language=CHS,dc1fc9393e36
莫把输液治疗当儿戏,杨华(文) ; 首都医科大学附属复兴医院月坛社区卫生服务中心,,健康博览,2025,,,,,<正>有些人得了感冒后，第一个想法就是去急诊室、社区医疗机构、村卫生室、医务室或个体诊所找医生静脉输液，他们将输液看作是一种万能且高级的治疗手段。然而，静脉输液并非大家想象的那样“百利而无一害”。输液治疗的常见并发症静脉输液是一种将药物直接输送至血液循环的方法。正因如此，它的优点就是药物起效快、浓度高、疗效好，很多患者上午刚输完液，下午或次日症状就能得到明显改善，以至于后续生病时，一旦未能“药到病除”，他们就会寻求“输液”以尽快解决问题。,,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6Y6HP2Iv2DCWHIo7XWhb1bQ003A4s2dK8qLUXFDKfcte_WXymSAizm_3D3jlQOwRDd5cX1CvToPVvKzES85PaRCfye5Zh-m7egc3BgyQwWFRlbQ4du2xckwZerAFP9bY_T7GvNnfvMQQZkIp3KeKxOcXaQpcl9dywIbJDcxoX8Zw==&uniplatform=NZKPT&language=CHS,90fa79bd33bb
持续性组织水平低灌注(无复流现象)会抵消成功机械取栓治疗的临床获益 题录,李宏建,,国际脑血管病杂志,2025,,,,,"在机械取栓后实现上游血管成功再通的患者中, 30%会持续存在组织水平低灌注(无复流现象)。澳大利亚墨尔本大学皇家墨尔本医院的Rivet等对EXTEND-IA(Endovascular Therapy for Ischemic Stroke With Perfusion-Imaging Selection)试验和EXTEND-IA TNK(Tenecteplase Versus Alteplase Before Thrombectomy for Ischemic Stroke)试验进行了一项事后汇总分析, 通过比较无复流现象患者与不同程度血管再通患者, 对无复流现象的临床影响进行了探讨。",,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4hAmN54vxBHpxhbwSDrZRpK7xJpu-KzkEHZ6EZLL1tUV7wWh8I8kQ_-hZvFXy1TRvOO-lV1-9xrzZeez-68CClKhbFZJlfdAfytrC5p-7_lr2XbF0ynS9Xx9yhNXwrArEXFndPo32OTlXInV8LIvKZm8F0N6IqjFWCbuMJBjLXRg==&uniplatform=NZKPT&language=CHS,f552dfdaf9f6
输液港导管断裂迁移并骑跨于未闭的卵圆孔1例及文献复习,王忠凯1 ; 彭云珠2 ; 李锐洁1 ; 刘利萍3 ; 吴长勇1 ; 孙煌1 ; 1.昆明医科大学第一附属医院心脏内一科 ; 2.云南大学附属医院云南省第二人民医院心血管病中心 ; 3.昆明医科大学第一附属医院超声科,,中国现代医药杂志,2025,,,,心腔内异物 ; 卵圆孔未闭 ; 介入治疗,"目的 探讨中心静脉输液港系统（totally implantable venous access port,TIVAP）导管断裂迁移至心脏并骑跨于未闭的卵圆孔的临床诊治方法，并评估其介入治疗的安全性和有效性。方法 报道1例肺恶性肿瘤患者TIVAP导管断裂后经卵圆孔未闭（patent foramen ovale,PFO）迁移至左心房，骑跨左右心系统的特殊病例，结合文献复习分析其发生机制、影像学特征及介入治疗的技术要点。结果 经股静脉途径成功实施介入手术，使用圈套器完整取出断裂导管；术后影像学评估显示心脏结构无损伤，患者无并发症，恢复良好。结论 介入治疗对于TIVAP导管断裂后经PFO迁移的病例是一种安全、有效的首选方法，但需通过规范置入和维护技术预防此类并发症的发生。",,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4hAmN54vxBHpxhbwSDrZRpPeYsNObIaWoXFyUil5Ey1ELW8D65BwQ-8YVQt6GWqTnD03AE1zYnoc-x7Du0HZxKfykfFnzfnsT75i8Skh6t2BLMMw9wOgeJCkr5WFxdtSe2Lam9XUSx0XttK8Boe4tycU78Z6VPsJUOtwFB0bqRcA==&uniplatform=NZKPT&language=CHS,3bd16e67f6fa
基于加权随机森林的个体治疗规则估计 题录,"赵子雨1 ; 陆梦依1,2 ; 邵方1 ; 尤东方1 ; 赵杨1,2,3,4 ; 1.南京医科大学公共卫生学院生物统计学系, 南京 ; 2.南京医科大学国家疫苗研发创新平台, 南京 ; 3.江苏省恶性肿瘤生物标志物与防治重点实验室, 肿瘤个体化医学省部共建协同创新中心, 南京 ; 4.南京医科大学第一附属医院心内科, 南京",,中华流行病学杂志,2025,,,,个体化医疗 ; 个体治疗规则 ; 因果推断 ; 随机森林,"在个性化医疗快速发展的背景下, 如何在多种治疗选择中为个体推荐最优方案已成为个体治疗规则研究的重要课题。现有方法在处理多类别治疗问题时, 常面临模型准确性、稳健性不足等挑战。本研究提出加权随机森林方法, 将治疗决策问题转化为加权分类问题, 通过引入不同治疗结果之间的预期损失差异优化模型学习过程, 并利用随机森林的非参数建模特性和对复杂数据的适应能力提升推荐性能。该方法进一步应用于真实的高血压干预研究, 根据患者基线特征推荐个性化的抗高血压治疗方案, 展示其在实际临床数据中的潜在应用价值。本研究旨在为多治疗场景下的个性化治疗提供新方法, 促进数据驱动的临床决策支持系统发展。",,,,"国家自然科学基金(82173620, 82373690, 82204156, 82404383, 82473732)；",,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6vCQR4cWrfWIXW_mzQKfLiQsooyalMk0sJOcRnZy8h58F568kAhQn35vQHu5tCIWS3lc3MyA_bgZK2IldIN5Kkodp42S-WYxA_FE5WNm9G9168dk2JpExjC1kEJVkof3A0oPdNlv81_lhFOeBMS-23y4Ug5KnqyuytukLGGb6ffQ==&uniplatform=NZKPT&language=CHS,4f096c3353a7
Protective Effect of Intermittent Fasting on The Thymic Response to Chronic Stress-Induced Inflammation In Rats:A Narrative Review,MUHAMMAD SYAKIRON ABDULLAH ; MOHD ASNIZAM ASARI ; UNIVERSITI SAINS MALAYSIA,,第11届亚太解剖学大会暨中国解剖学会第39届（2025年）学术年会摘要汇编,2025,,,,Chronic stress ; immune protection ; intermittent fasting ; inflammation ; thymus,"Objective Chronic psychological stress disrupts immune homeostasis,leading to thymic atrophy,altered T-cell maturation,and increased systemic inflammation.While antioxidants and adaptoge ns have been studied for immune protection,the potential of intermittent fasting(IF) to counter str ess-induced thymic changes remains underexplored.This narrative review aims to investigate the protective effects of IF on thymic structure and inflammatory profiles in chronically stressed rats.Methods A literatur...",10.26914/c.cnkihy.2025.050812,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6vCQR4cWrfWIXW_mzQKfLiNzTeTIPL6mHbiGEhsVMnvAd8aZqQj5WS-pUExQIdj4iiGLteTkDdvKxig1I5dVau3zOwUXNDzUVKlLit34sMruceyN73mWbxMzpFg8mbAtdCwYLjB8FNNbzZK8-CtlJDNgPiQ4GcRuJaK-f3CcHOK0W4WLd7Ujgz&uniplatform=NZKPT&language=CHS,fd4af0b685c2
当传统疗愈邂逅现代医疗,刘欢 ; 施艳,,甘肃科技报,2025,,,,,,10.28504/n.cnki.nkjxn.2025.000865,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5HPWfeSNxbh8exfBN9dk-OcWClU0TiWfwDmQiZ2ewwMOvH2NoiI2CkMs_A0XT10hlzKSuKoeyVYept_BYBOE_nmgFGOW8BZZ_TV4G-7eeTZ5-o2fEX5EaQOJx9KJDYjSc0ksqiTZwljGGe3irarezG7d0drm71XChx43gnxopTFkTKM3upl_ys&uniplatform=NZKPT&language=CHS,287953d0a833
静脉输液您“要”知道的那些事儿,鄢家苗 ; 安康市中医医院药剂科,,健康必读,2025,,,,,<正>下面，咱们来聊聊静脉输液这个在临床治疗中特别常见的事儿。您可能觉得静脉输液就是扎个针，输个液，很简单嘛，但其实这里面的学问可多啦！1.总说静脉输液，那是个啥？静脉输液，通常被人们亲切地称为“打吊瓶”或“打点滴”，其实就像是一种为身体内的小河流（即血管）注入新的水源（即药液）的过程。这种医疗手段在我们生病时显得尤为重要。当我们的身体因为疾病而出现水分、营养物质或药物不足的情况时，静脉输液就显得尤为关键。,,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5HPWfeSNxbh8exfBN9dk-OATPQaTD9cmIwzAMV1EAy6Z5c-sjuZizEne0cPxHaJiw17LShJajtGNzmS2PoG-YnSVs3qVrKApvXhQAybjBRd6DUc7xOpYBaTmBW3Ysanzp7OhQGCXfi3hRKuMLFjpHW38Ys9OGrbEsLjct9u0JN9w==&uniplatform=NZKPT&language=CHS,890f4b6b2db6
成人雾化吸入小科普,"刘琰1,2 ; 1.北京大学肿瘤医院暨北京市肿瘤防治研究所胃肠肿瘤中心一病区 ; 2.北京大学恶性肿瘤发病机制及转化研究教育部重点实验室",,人人健康,2025,,,,,<正>雾化吸入疗法是一种通过专用的雾化装置，将药液雾化成粒径在0.01—10微米的气溶胶微粒，再通过吸入的方式将药物直接送入气道并沉积于肺部的治疗方法。这种疗法具有：局部药物浓度高、全身不良反应少的优点。雾化吸入疗法特别适用于治疗哮喘、支气管炎等呼吸系统疾病，可有效缓解咳嗽、咳痰等急慢性呼吸道症状。它是一种重要且有效的治疗手段，能帮助患者改善呼吸健康。本文将详细探讨雾化吸入给药途径的特点及优势、适应证、常用药物、操作步骤及注意事项。,10.20252/j.cnki.rrjk.2025.21.060,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4qxH45nYCKvV1hWQTwHwcwHKRs9r20x7cO89PY7_98kw6M5zW59iMPVxZkrEe0qvZ71iGvvrzTxEGDTtNaOqpKeOGy-9TWsHTb3mCmPqCQemFfpqSDIlkuPYSX1dURJWkkFbT8FJOP9I6BRmmc5aSiao4kXXNZn-7uhUfKDlJV7A==&uniplatform=NZKPT&language=CHS,91ecef3e9f87
基于HFMEA模式改善儿童住院患者静脉输液安全流程,周圆 ; 于锦 ; 陈丹艺 ; 王阿明 ; 盐城市第一人民医院,,甘肃医药,2025,,,,医疗失效模式与效应分析 ; 儿童 ; 住院静脉输液 ; 安全流程,目的：探讨医疗失效模式与效应分析（HFMEA）在改善儿童住院患者静脉输液安全流程的应用价值。方法：通过HFMEA对儿童住院患者静脉输液全流程进行失效模式与危害分析，再制定相应改善对策并实施，设定每个对策的相应考核指标的目标值来判定对策实施效果。采用简单随机抽样的方法，分别抽取2023年某三甲医院儿童院区第一季度和第二季度住院医嘱各1000条并进行点评，将点评结果作对策实施改善前后的对比。结果：通过梳理儿童住院患者静脉输液流程及每个子流程的危害点，利用决策树分析，确定共有11个危害点需采取进一步行动，拟定并整合相应对策共得到5条对策；对策实施后，改善后设定的考核指标均达到了目标值，住院医嘱不合格问题有所改善（P<0.05）。改善后危害评分降幅达45.45%。结论：通过HFMEA对儿童住院患者静脉输液全流程进行风险管控，可以有效降低儿童住院患者静脉输液用药差错风险，提高儿童住院患者静脉输液安全性。,10.15975/j.cnki.1004-2725.2025.07.015,,,中国医药质量管理协会2025年度医疗质量管理科研项目(编号：YLZG202538)；,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4qxH45nYCKvV1hWQTwHwcw_dDQezxPB-9mP9t7xapKYCLmmVCr5pBWdEeCbkNRlMRLAo1LSY0rfc-FNW98Uchx5zi_8ZbZjSyB7A_9iutseIkM0K76B_PGsnIuGNt924dsTwTGU2k_QXtdz4Lh8Nyo5UK26aBjnBKpVSFxDu5X2A==&uniplatform=NZKPT&language=CHS,40e1d59a327b
基于OCT的血滴动态凝固三维特征刻画及应用,李瑶,,福建师范大学,2025,,,,,,,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF75PzMwYtKemMC4JrKVgBUKkfXEntpht0uOXYV_P_zm963YC_zYzTmjenwsUoLWtBqAIL1eCxkpzD6144ZXWaO2Ru1rxznBeKjFm7X3_05n6CzPzOrlCTUmMxDIyGrN9SODvf4U11EZ2UuWNPaa6t4Qret1dYfspsGW0ve7he6vnQzZZAiy_E-v&uniplatform=NZKPT&language=CHS,0da88fc82af5
新型肺炎克雷伯菌噬菌体的生物学特性及对大蜡螟感染模型治疗的研究,彭晓翠 ; 河北北方学院,,河北北方学院,2025,,,,噬菌体治疗 ; 生物性特性 ; 全基因组测序 ; 肺炎克雷伯菌 ; 多重耐药(MDR) ; 高毒力 ; 大蜡螟感染模型,"目的:本研究旨在从自环境水体中分离出针对临床高毒力及多重耐药肺炎克雷伯菌的裂解性噬菌体,系统解析其生物学特性、基因组特征及体内治疗效果,期望为噬菌体的临床应用提供可用的高质量资源,为新型抗菌剂的开发奠定基础。 方法:以临床分离肺炎克雷伯菌P4为宿主菌,采用双层平板法从河水中分离鉴定出新型肺炎克雷伯菌噬菌体vB＿Kp＿XP4,并进行纯化、扩增和保存。通过透射电镜观察其形态结构,斑点法测定宿主谱,双层平板法及混合溶液的OD630值的测定进行p H及温度的稳定性检测;采用全基因组测序与生物信息学进行基因分析,建立大蜡螟（Galleria mellonella）幼虫感染模型评估噬菌体体内治疗效果。 结果: 1.新型噬菌体的形态学与裂解特征:通过梯度稀释肺炎克雷伯菌噬菌体vB＿Kp＿XP4可在双层琼脂板上形成伴有特征性多层晕环的噬菌斑。透射电镜（TEM,加速电压200 k V）解析显示,该噬菌体具有典型二十面体头部（直径约55±2nm）和柔性非收缩性尾部（长度约168±10nm）,依据国际病毒分类委员会（ICTV）标准归属于有尾噬菌体目（Caudovirales）中的Drul...",10.27767/d.cnki.ghbbf.2025.000096,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF75PzMwYtKemMC4JrKVgBUKkfXEntpht0uOXYV_P_zm93io9v3LbRylvaynesT7b5hty3lFlRO8D0Ye4_ElJS0XzDVPHed3_xgLZ_Lt3eS6Jb_wa7VXGMO1_8N2BE8r6VaNX4WyzPUavAHk3iG9v0djD9oGpM6RhLG9DepeKWDCCDfgtn-9gBfQ&uniplatform=NZKPT&language=CHS,70522dcfc6f3
红光照射联合艾草药酒理疗研究报告,陈伟民 ; 广州体育职业技术学院,,"长者“护航计划""——第三届中西医融合助力现代医学发展会议论文集",2025,,,,红光照射 ; 艾草药酒 ; 慢性疼痛 ; 中西医结合,"本研究旨在探索红光照射联合艾草药酒在慢性疼痛及炎症性疾病治疗中的协同作用及机制。通过对100例患者的随机对照试验,将患者分为对照组、单一红光组、单一药酒组及红光联合艾草药酒组,治疗周期为4周,评估疼痛缓解、炎症控制及生活质量改善效果。结果显示,红光联合艾草药酒组在疼痛评分(VAS)、炎症指标(CRP、IL-6)及生活质量(SF-36评分)方面的改善显著优于其他组(P<0.001)。组织病理学分析显示,红光联合艾草药酒组炎症细胞浸润显著减少,纤维化组织修复显著增强。分子生物学检测结果表明,红光照射联合艾草药酒联合治疗可通过下调白细胞介素-1β(IL-1β)、肿瘤坏死因子α(TNF-α)及核因子κB (NF-κB)信号通路的关键分子表达,显著抑制炎症反应,同时提高抗氧化酶活性。本研究验证了红光与艾草药酒的协同疗效及其潜在分子机制,提出了一种创新的中西医结合治疗模式,为慢性疾病的综合管理提供了新的临床思路。",10.26914/c.cnkihy.2025.025019,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF75PzMwYtKemMC4JrKVgBUKMtryG-JnZlcIYlhSHa-8L-HtAFBUS-1WUSXIIYBT_UcTeSPmJ7evi14CBrEpa_iUcnPQSILDKzKOOA_yZXAZM-cOqwaOoECd59DpXBd5p1qZA8IVfDt37yO2VldJ6Sk3SpTYTP2AqRG9KIa_RQwqhn_AASc70nuc&uniplatform=NZKPT&language=CHS,7e1f302f7de9
气管插管，你知多少,王欣培 ; 余洁 ; 上海交通大学医学院附属瑞金医院北部院区,,祝您健康,2025,,,,,<正>大家口中常会这么议论：插管了啊，肯定很痛的。各种担忧的同时也有所好奇。气管插管真的那么痛苦吗？插管的时候很困难吗？该怎么配合医生的治疗呢？拔管后可以做点什么呢？这篇文章来一探究竟。气管插管是什么气管插管是将气管导管经过口腔或鼻腔插入到患者气管内，以辅助患者呼吸、解除气道梗阻、吸取气管分泌物等。,,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6ltHr508WDDSUc1ejgVSaEu7ZDaelhc7J9Bj8ToMPRsYiwyCdiUDn3WzSz6sJDudmCoslZiPz1ju6JgfTfS-JemfTUG30prI1rzAmSUlqP-qAIzYR_3BTZ6Vc-NT71rXlY4yaROqwDu3e6vkFwoGlAMg2Aj9q7xUUcukWRCeILYw==&uniplatform=NZKPT&language=CHS,8290cc4f378f
Gold-Nanoframework@CuSe Mediated Near-Infrared-Ⅱ Laser-Triggered Chemodynamic Therapy and Photothermal Synergistic Antibacterial therapy OA,"Jinfeng Cai1 ; Ao Wu2 ; Shuai Pan2 ; Zhaoqin Zhu2 ; Fuguang Li1 ; 1.Department of microbiology and Immunology, School of Basic Medical Sciences, Zhengzhou University ; 2.Department of Laboratory Medicine,Shanghai Public Health Clinical Center",,Nano Biomedicine and Engineering,2025,,,,,"The treatment of multidrug-resistant bacteria is a difficult problem in clinical practice. These drug-resistant bacteria have reduced sensitivity to antibiotics, which contributes to the high incidence and mortality of bacterial infections worldwide. Photothermal therapy and chemodynamic therapy are advanced nanomaterial-based medical treatment methods and are widely used in tumor and antibacterial therapies due to their precision and rapidity. To overcome the limitations of conventional treatme...",,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7rPBUSeWopQvAV6uIi_IIYqRNINDNYfTiSGQYfsqj35UrNFH8tztb73C1vlwUN2wrFJEn2u5lj0cSbO80gHPIgyKeT5mYl1s1Z0H3p92w71TIlK2RTToRKqG9hLjeozMp0ncWnCGEmm9e6aPQMbRfp9XwQe51y-0hPihjj8WPO3w==&uniplatform=NZKPT&language=CHS,a635e58b3aa6
血管通路选择:临床决策的核心要素,梁丽,,河南青年时报,2025,,,,,,10.28369/n.cnki.nhnqn.2025.000054,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7rPBUSeWopQvAV6uIi_IIYHRRUm57p1bdB4tGuHb_Ij4wZKQFFgfqLKcw7STa5FA8oQoR3i10oW8SJc5SAxBLaFFrM4UAj2Lb7SBKywtQsoRBjNC-kkGWLWPFYqjkAL1kjt2L-ilMx52FeMzGkuKTeSbzlWXu1ForOl8Wq7LcEn7HZdNe7DI93&uniplatform=NZKPT&language=CHS,576ea07ef8f7
揭开雾化的神秘面纱 题录,梁萌 ; 新疆生产建设兵团医院药学部,,,2025,,,,,<正>,,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5MLEaKF_NSVgkDXwzj8u6fRwvFNd1Ym5abWsIpJvoAEJzwRiOk1udjXoq083Sy7UHNqiX-OFjzy1yR2IJl98uw2_pyDZWKYVxyUk9KgjH_4jIGBIIm7owGR-7gWCibfX7iRQFH5MOumcNd5w1nougdcoihKVbyVyVqRvFjvBo8Nw==&uniplatform=NZKPT&language=CHS,434a56ec37c3
基于双向密集时序卷积和自适应注意力的治疗肽预测研究,王森 ; 太原理工大学,,太原理工大学,2025,,,,治疗肽 ; 特征选择 ; 双向密集时序卷积块 ; 多模态信息 ; 自适应交叉注意力,"治疗肽是一类独特的药剂,由一系列有序的氨基酸组成,可在体内发挥多种关键作用,参与调节机体功能、神经传递、信号转导、结构构建及免疫应答等过程。早期治疗肽的预测主要依赖于生物湿实验的方法,然而该方法实验周期较长、需要大量的物质资源并且难以筛选大量未鉴定的治疗肽。机器学习和深度学习等计算方法的出现使得从大规模生物数据中提取有价值信息变得高效和准确。 现有研究在特征构建上多侧重于序列层面信息,而对治疗肽生物功能表达至关重要的理化性质的有效利用较少。由于理化特征本身维度较高、存在冗余,当前常用的编码方式难以充分表达治疗肽的理化性质,直接用于建模往往效果有限。以往研究的模型普遍忽略了治疗肽序列中氨基酸之间潜在的关联性,难以充分捕捉影响治疗肽功能的关键因素。此外,在构建治疗肽的多模态信息空间时,现有方法通常对不同类型的特征赋予相同权重,未能充分考虑它们在表征能力和信息价值上的差异。这些不足在一定程度上制约了模型在治疗肽预测任务中的性能。针对以上问题,本文提出了以下主要研究内容: (1)本文提出了一种基于ProteinBERT和双向密集时序卷积的治疗肽预测模型(ProteinBERT-based Bid...",10.27352/d.cnki.gylgu.2025.000736,,,省科技厅项目；,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5MLEaKF_NSVgkDXwzj8u6fPDkWGBw7qOrWxdGBvhxPu9pGmAynsd9zubXNk8vy-3_A1449f688ZC_PtlX7Dah3JV4Z3sMD8AM-Y222W3ED2moojyMNew4SNQgwydVeaoW95aQKoKIQKofp3QlPd1OehFGfmXx6cLhmoZ8slG2QE56N1cwyxiOH&uniplatform=NZKPT&language=CHS,8caa88d7c814
PRP技术开启人体再生密码,李博文 ; 哈尔滨医科大学附属第四医院,,家庭医学,2025,,,,,<正>在医疗科技日新月异的今天，一项名为富血小板血浆（PRP）的技术逐渐走入大众视野，它以一种独特且自然的方式，挑战传统治疗手段，为众多疾病的康复带来了新的途径。PRP，全称为富血小板血浆（Platelet-Rich Plasma），是一种源自人体自身的再生医学疗法。它并非科幻概念，而是源于一个简单的医学实践：利用我们血液中的自然愈合力量来促进组织修复。当我们将血液进行特殊的处理，就能分离出其中富含的血小板，这些血小板就像一个藏有生物活性分子的宝库，其中蕴含的生长因子是驱动身体自我修复的关键。,,,,,,R45,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5MLEaKF_NSVgkDXwzj8u6f78QHTCWNaTLhpNTVlWJKwUHxgzyN9fu0TewM3cSqaJDglFTiSgLjdHcvVr-WVmCDEcBehlgr_tvk1xf3E5ow57kjyXZjiBAp8kkIaMpsOHtDl5zdwSFEbu2JygybTn8qhOj-yif_fcWBvT6CkzBkYA==&uniplatform=NZKPT&language=CHS,b6bc2ce00a9d
